distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
-30,500,1020,1200,780,380,2579,NA,560,799,NA,620,NA,920,840,480,880
-30,500,1440,860,860,400,NA,1220,560,1080,600,1739,560,1240,NA,760,660
-30,560,740,760,520,360,2880,NA,1440,1200,440,1040,480,12360,1040,720,720
NA,420,920,1160,560,320,1820,1240,780,980,940,640,520,400,NA,900,380
NA,520,1020,1306,780,340,1260,1180,580,760,640,817,718,460,1200,440,760
NA,540,800,1160,600,400,1620,1160,560,600,760,680,486,420,780,460,700
NA,500,1080,1535,560,400,3096,1180,600,480,820,800,NA,342,860,896,540
NA,500,1737,1380,580,400,2859,1260,500,540,540,637,640,320,760,815,854
NA,560,1240,900,560,340,1840,NA,600,500,1240,560,760,NA,1180,500,1139
NA,460,780,640,560,400,1978,1320,540,500,480,580,520,280,1000,560,500
NA,540,740,900,540,380,2360,860,600,520,NA,680,460,300,998,1296,560
NA,500,840,740,560,420,1460,1520,580,536,700,460,560,380,880,560,440
NA,500,900,720,540,600,1040,NA,840,617,560,440,640,320,660,400,440
NA,440,704,1300,520,480,1980,880,720,560,540,400,540,500,560,400,460
NA,560,760,860,540,400,1958,807,600,440,920,480,500,NA,758,480,1240
NA,540,1943,918,460,460,2240,960,540,540,560,722,580,320,919,960,520
NA,460,700,1396,520,660,2400,759,720,620,NA,860,440,360,940,560,460
NA,440,600,1235,440,500,2640,880,620,580,460,880,480,360,820,480,500
NA,500,726,817,460,400,3300,560,500,540,NA,220,340,340,660,500,420
NA,480,720,879,460,416,2440,460,480,520,580,NA,560,300,979,440,480
NA,440,1000,1315,460,560,2840,520,380,600,640,2700,380,400,800,420,980
NA,440,740,1340,760,580,2576,NA,420,420,460,3100,480,320,600,540,962
NA,880,600,1280,560,440,4237,NA,1560,440,700,2900,440,300,1320,380,960
NA,480,780,1679,580,460,1200,NA,400,620,520,2440,380,260,860,340,560
NA,440,760,1100,540,360,1380,NA,300,520,600,700,780,NA,1060,440,540
NA,500,680,1120,580,380,1440,518,420,340,460,460,380,280,1100,440,500
NA,360,720,760,480,440,1080,380,320,500,760,800,500,340,NA,540,360
NA,760,596,1620,460,400,1240,540,440,600,600,395,380,340,NA,520,640
NA,439,900,1300,517,940,1480,640,400,500,977,480,680,300,920,600,500
NA,480,1000,900,600,320,1478,500,400,520,580,380,440,380,460,440,440
NA,480,580,700,580,400,1660,NA,420,920,600,640,NA,360,420,458,500
NA,860,578,1140,460,340,1080,NA,597,740,560,3040,460,400,500,499,680
NA,400,740,1015,460,380,1780,NA,380,620,600,920,440,740,860,380,500
NA,460,559,1480,458,460,1717,440,348,520,NA,560,580,NA,1220,440,460
NA,460,660,1424,500,500,1520,520,360,1156,640,480,480,NA,680,358,440
NA,440,579,958,620,500,2295,460,400,800,540,380,440,300,820,860,380
NA,460,520,856,457,380,1977,480,320,620,740,1956,600,300,659,560,738
NA,400,580,2318,460,460,1299,500,620,500,1079,440,540,780,797,440,740
NA,400,500,940,420,420,1020,580,380,540,600,480,680,NA,600,360,440
NA,757,499,720,440,480,1660,860,400,1120,560,NA,420,360,1820,360,460
NA,480,620,880,420,640,3520,700,380,520,540,520,660,2660,700,320,400
NA,580,660,1600,460,400,576,700,460,460,420,560,420,680,700,320,480
NA,404,620,1040,520,440,940,840,760,820,480,440,440,NA,719,440,719
NA,520,680,1040,420,260,660,NA,400,700,740,700,380,300,760,440,1020
NA,680,540,660,440,380,717,1060,420,619,940,600,360,NA,940,440,540
NA,720,560,880,520,520,680,820,360,720,840,NA,560,340,960,600,400
NA,440,520,740,440,460,1297,640,460,560,NA,400,540,260,1000,580,1180
NA,NA,579,937,600,360,1120,780,480,580,440,680,560,840,855,362,380
NA,420,681,680,420,400,860,600,420,640,540,420,460,360,600,360,480
NA,380,620,1080,440,139,699,540,380,540,440,420,460,NA,700,360,296
NA,440,680,839,400,520,1079,1000,420,520,680,580,780,440,660,360,400
